datetime_beginning_utc,datetime_beginning_ept,ancillary_service,unit,value,row_is_current,version_nbr
9/5/2024 8:00:00 PM,9/5/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/5/2024 9:00:00 PM,9/5/2024 5:00:00 PM,RTO Synchronized Reserve,Price,0.160000,True,1
9/5/2024 10:00:00 PM,9/5/2024 6:00:00 PM,RTO Synchronized Reserve,Price,3.310000,True,1
9/5/2024 11:00:00 PM,9/5/2024 7:00:00 PM,RTO Synchronized Reserve,Price,0.460000,True,1
9/6/2024 12:00:00 AM,9/5/2024 8:00:00 PM,RTO Synchronized Reserve,Price,19.520000,True,1
9/6/2024 1:00:00 AM,9/5/2024 9:00:00 PM,RTO Synchronized Reserve,Price,3.350000,True,1
9/6/2024 2:00:00 AM,9/5/2024 10:00:00 PM,RTO Synchronized Reserve,Price,23.400000,True,1
9/6/2024 3:00:00 AM,9/5/2024 11:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 4:00:00 AM,9/6/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 5:00:00 AM,9/6/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/6/2024 6:00:00 AM,9/6/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/6/2024 7:00:00 AM,9/6/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/6/2024 8:00:00 AM,9/6/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/6/2024 9:00:00 AM,9/6/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 10:00:00 AM,9/6/2024 6:00:00 AM,RTO Synchronized Reserve,Price,5.670000,True,1
9/6/2024 11:00:00 AM,9/6/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 12:00:00 PM,9/6/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 1:00:00 PM,9/6/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/6/2024 2:00:00 PM,9/6/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.000000,True,1
9/6/2024 3:00:00 PM,9/6/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 4:00:00 PM,9/6/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 5:00:00 PM,9/6/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 6:00:00 PM,9/6/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 7:00:00 PM,9/6/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 8:00:00 PM,9/6/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/6/2024 9:00:00 PM,9/6/2024 5:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 10:00:00 PM,9/6/2024 6:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/6/2024 11:00:00 PM,9/6/2024 7:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/7/2024 12:00:00 AM,9/6/2024 8:00:00 PM,RTO Synchronized Reserve,Price,0.300000,True,1
9/7/2024 1:00:00 AM,9/6/2024 9:00:00 PM,RTO Synchronized Reserve,Price,3.910000,True,1
9/7/2024 2:00:00 AM,9/6/2024 10:00:00 PM,RTO Synchronized Reserve,Price,25.130000,True,1
9/7/2024 3:00:00 AM,9/6/2024 11:00:00 PM,RTO Synchronized Reserve,Price,7.450000,True,1
9/7/2024 4:00:00 AM,9/7/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/7/2024 5:00:00 AM,9/7/2024 1:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 6:00:00 AM,9/7/2024 2:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 7:00:00 AM,9/7/2024 3:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 8:00:00 AM,9/7/2024 4:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 9:00:00 AM,9/7/2024 5:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/7/2024 10:00:00 AM,9/7/2024 6:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 11:00:00 AM,9/7/2024 7:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/7/2024 12:00:00 PM,9/7/2024 8:00:00 AM,RTO Synchronized Reserve,Price,0.030000,True,1
9/7/2024 1:00:00 PM,9/7/2024 9:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 2:00:00 PM,9/7/2024 10:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
9/7/2024 3:00:00 PM,9/7/2024 11:00:00 AM,RTO Synchronized Reserve,Price,0.020000,True,1
9/7/2024 4:00:00 PM,9/7/2024 12:00:00 PM,RTO Synchronized Reserve,Price,0.010000,True,1
9/7/2024 5:00:00 PM,9/7/2024 1:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
9/7/2024 6:00:00 PM,9/7/2024 2:00:00 PM,RTO Synchronized Reserve,Price,0.030000,True,1
